MY_MMult_O0 = [
176 5.958225e+01 1.776357e-14 
192 6.434444e+01 2.131628e-14 
208 7.825141e+01 2.131628e-14 
224 7.999590e+01 2.842171e-14 
240 1.105920e+02 2.842171e-14 
256 7.557305e+01 2.309264e-14 
272 4.374706e+01 2.842171e-14 
288 7.305160e+01 3.197442e-14 
304 7.718259e+01 3.197442e-14 
320 1.000550e+02 3.907985e-14 
336 9.701549e+01 3.907985e-14 
352 3.854548e+01 3.552714e-14 
368 9.211836e+01 4.618528e-14 
384 1.040866e+02 4.973799e-14 
400 1.066667e+02 5.329071e-14 
416 9.814764e+01 5.684342e-14 
432 8.763214e+01 4.973799e-14 
448 1.179992e+02 4.973799e-14 
464 1.169074e+02 5.684342e-14 
480 7.763566e+01 6.039613e-14 
496 1.247689e+02 6.039613e-14 
512 1.202668e+02 6.039613e-14 
528 1.282771e+02 6.394885e-14 
544 1.278199e+02 9.237056e-14 
560 1.176263e+02 6.394885e-14 
576 1.408795e+02 7.105427e-14 
592 4.911225e+01 6.394885e-14 
608 1.356401e+02 8.704149e-14 
624 1.217288e+02 7.815970e-14 
640 1.459599e+02 8.171241e-14 
656 1.444731e+02 7.815970e-14 
672 1.395560e+02 8.526513e-14 
688 1.332763e+02 8.171241e-14 
704 1.468183e+02 8.171241e-14 
720 1.420274e+02 8.526513e-14 
736 1.234711e+02 8.526513e-14 
752 1.356272e+02 9.947598e-14 
768 1.543390e+02 9.237056e-14 
784 1.093466e+02 9.947598e-14 
800 1.583913e+02 1.136868e-13 
816 1.392818e+02 1.101341e-13 
832 1.394336e+02 1.563194e-13 
848 1.283520e+02 1.101341e-13 
864 1.430729e+02 1.136868e-13 
880 1.541443e+02 1.101341e-13 
896 1.467707e+02 1.136868e-13 
912 1.378932e+02 1.136868e-13 
928 1.534816e+02 1.278977e-13 
944 1.414074e+02 1.350031e-13 
960 1.400342e+02 1.278977e-13 
976 1.592385e+02 1.421085e-13 
992 1.665429e+02 1.421085e-13 
1008 1.344526e+02 1.492140e-13 
1024 1.593207e+02 1.278977e-13 
];

Blas_O1 = [
16 4.995122e-02 1.332268e-15 
32 4.096000e+00 2.664535e-15 
48 1.005382e+01 2.664535e-15 
64 2.496610e+01 4.440892e-15 
80 6.320988e+00 5.329071e-15 
96 3.846678e+01 5.329071e-15 
112 4.460089e+01 7.105427e-15 
128 4.559026e+01 1.243450e-14 
144 5.633932e+01 1.421085e-14 
160 9.102222e+01 1.598721e-14 
176 5.143185e+01 1.598721e-14 
192 7.372800e+01 2.131628e-14 
208 8.694601e+01 2.131628e-14 
224 4.654006e+01 2.842171e-14 
240 4.360883e+01 2.486900e-14 
256 9.294857e+01 2.309264e-14 
272 9.403574e+01 2.842171e-14 
288 8.639375e+01 3.197442e-14 
304 9.121579e+01 3.907985e-14 
320 1.345708e+02 3.197442e-14 
336 7.853635e+01 3.907985e-14 
352 1.253282e+02 3.552714e-14 
368 1.222970e+02 4.618528e-14 
384 1.279618e+02 4.973799e-14 
400 7.960199e+01 5.329071e-14 
416 1.119616e+02 5.684342e-14 
432 1.193510e+02 4.973799e-14 
448 8.592011e+01 5.329071e-14 
464 3.137479e+01 6.039613e-14 
480 1.387604e+02 6.394885e-14 
496 1.232565e+02 6.039613e-14 
512 1.249700e+02 5.329071e-14 
528 1.304946e+02 6.750156e-14 
544 1.188551e+02 1.136868e-13 
560 2.492244e+01 6.039613e-14 
576 1.299136e+02 7.815970e-14 
592 1.223678e+02 6.394885e-14 
608 1.057425e+02 8.526513e-14 
624 1.265472e+02 7.460699e-14 
640 1.473961e+02 8.526513e-14 
656 1.348462e+02 8.171241e-14 
672 1.308036e+02 7.815970e-14 
688 1.125880e+02 7.460699e-14 
704 1.255763e+02 8.526513e-14 
720 1.458000e+02 7.815970e-14 
736 1.446095e+02 8.526513e-14 
752 1.441800e+02 9.237056e-14 
768 1.211837e+02 9.947598e-14 
784 1.478645e+02 1.012523e-13 
800 1.492494e+02 1.136868e-13 
816 1.573754e+02 1.136868e-13 
832 1.646221e+02 1.563194e-13 
848 1.367112e+02 1.101341e-13 
864 1.599039e+02 9.947598e-14 
880 1.534847e+02 1.065814e-13 
896 1.427512e+02 1.136868e-13 
912 1.279390e+02 1.207923e-13 
928 1.093118e+02 1.243450e-13 
944 1.608321e+02 1.421085e-13 
960 1.448369e+02 1.350031e-13 
976 1.233943e+02 1.421085e-13 
992 1.443857e+02 1.421085e-13 
1008 1.645950e+02 1.350031e-13 
1024 1.452180e+02 1.278977e-13 
];

Blas_O3 = [
16 2.048000e-01 1.332268e-15 
32 8.192000e+00 2.664535e-15 
48 3.159771e+01 2.664535e-15 
64 2.912711e+01 4.440892e-15 
80 1.969231e+01 5.329071e-15 
96 3.686400e+01 5.329071e-15 
112 4.606321e+01 7.105427e-15 
128 5.991863e+01 1.243450e-14 
144 4.524218e+01 1.421085e-14 
160 9.637647e+01 1.598721e-14 
176 6.608213e+01 1.598721e-14 
192 3.987543e+01 2.131628e-14 
208 7.724388e+01 2.131628e-14 
224 8.115108e+01 2.842171e-14 
240 1.020221e+02 2.486900e-14 
256 8.971773e+01 2.309264e-14 
272 9.816414e+01 2.842171e-14 
288 7.559453e+01 3.197442e-14 
304 7.094562e+01 3.907985e-14 
320 1.310720e+02 3.197442e-14 
336 1.251916e+02 3.907985e-14 
352 1.262350e+02 3.552714e-14 
368 1.044781e+02 4.618528e-14 
384 1.183346e+02 4.973799e-14 
400 1.322314e+02 5.329071e-14 
416 1.111835e+02 5.684342e-14 
432 1.204206e+02 4.973799e-14 
448 6.213918e+01 5.329071e-14 
464 1.167025e+02 6.039613e-14 
480 1.306462e+02 6.394885e-14 
496 1.318465e+02 6.039613e-14 
512 9.412183e+01 5.329071e-14 
528 1.242701e+02 6.750156e-14 
544 1.264644e+02 1.136868e-13 
560 1.111494e+02 6.039613e-14 
576 1.352463e+02 7.815970e-14 
592 1.400909e+02 6.394885e-14 
608 1.138869e+02 8.526513e-14 
624 1.301745e+02 7.460699e-14 
640 1.427411e+02 8.526513e-14 
656 1.204096e+02 8.171241e-14 
672 1.404278e+02 7.815970e-14 
688 1.396487e+02 7.460699e-14 
704 1.340429e+02 8.526513e-14 
720 1.520049e+02 7.815970e-14 
736 1.238355e+02 8.526513e-14 
752 1.465147e+02 9.237056e-14 
768 9.438167e+01 9.947598e-14 
784 1.583603e+02 1.012523e-13 
800 1.224295e+02 1.136868e-13 
816 1.461373e+02 1.136868e-13 
832 1.492048e+02 1.563194e-13 
848 1.387486e+02 1.101341e-13 
864 1.490921e+02 9.947598e-14 
880 1.574566e+02 1.065814e-13 
896 1.498902e+02 1.136868e-13 
912 1.767153e+02 1.207923e-13 
928 1.551201e+02 1.243450e-13 
944 1.433837e+02 1.421085e-13 
960 1.429761e+02 1.350031e-13 
976 1.661094e+02 1.421085e-13 
992 1.588466e+02 1.421085e-13 
1008 1.619917e+02 1.350031e-13 
1024 1.638550e+02 1.278977e-13 
];

Blas_O1 = [
16 1.437193e-01 1.332268e-15 
32 1.310720e+01 2.664535e-15 
48 2.457600e+01 3.552714e-15 
64 2.759411e+01 4.440892e-15 
80 8.554720e-01 6.217249e-15 
96 3.764834e+01 7.105427e-15 
112 4.257358e+01 8.881784e-15 
128 4.934475e+01 1.065814e-14 
144 5.060990e+01 1.421085e-14 
160 8.808602e+01 1.598721e-14 
176 6.451806e+01 1.776357e-14 
192 8.135503e+01 2.131628e-14 
208 7.562111e+01 2.131628e-14 
224 7.346029e+01 2.842171e-14 
240 9.468493e+01 2.842171e-14 
256 7.506584e+01 2.309264e-14 
272 6.652446e+01 2.842171e-14 
288 8.623781e+01 3.197442e-14 
304 6.292153e+01 3.197442e-14 
320 9.322333e+01 3.907985e-14 
336 7.526400e+01 3.907985e-14 
352 9.309329e+01 3.552714e-14 
368 9.907760e+01 4.618528e-14 
384 1.021156e+02 4.973799e-14 
400 1.090290e+02 5.329071e-14 
416 8.308286e+01 5.684342e-14 
432 1.094658e+02 4.973799e-14 
448 1.005203e+02 4.973799e-14 
464 1.144299e+02 5.684342e-14 
480 1.334041e+02 6.039613e-14 
496 5.121676e+01 6.039613e-14 
512 1.112916e+02 6.039613e-14 
528 1.174296e+02 6.394885e-14 
544 1.312055e+02 9.237056e-14 
560 8.102238e+01 6.394885e-14 
576 7.597018e+01 7.105427e-14 
592 1.277160e+02 6.394885e-14 
608 1.206095e+02 8.704149e-14 
624 1.297920e+02 7.815970e-14 
640 1.409376e+02 8.171241e-14 
656 9.062614e+01 7.815970e-14 
672 1.216534e+02 8.526513e-14 
688 1.294359e+02 8.171241e-14 
704 8.512166e+01 8.171241e-14 
720 1.364709e+02 8.526513e-14 
736 1.475803e+02 8.526513e-14 
752 1.393606e+02 9.947598e-14 
768 9.134600e+01 9.237056e-14 
784 7.842628e+01 9.947598e-14 
800 1.586613e+02 1.136868e-13 
816 1.441790e+02 1.101341e-13 
832 1.459530e+02 1.563194e-13 
848 1.256413e+02 1.101341e-13 
864 1.538029e+02 1.136868e-13 
880 1.345586e+02 1.101341e-13 
896 1.529498e+02 1.136868e-13 
912 1.657853e+02 1.136868e-13 
928 1.459421e+02 1.278977e-13 
944 1.299602e+02 1.350031e-13 
960 1.520557e+02 1.278977e-13 
976 1.435630e+02 1.421085e-13 
992 1.491052e+02 1.421085e-13 
1008 1.421305e+02 1.492140e-13 
1024 1.312322e+02 1.278977e-13 
];

